Plan Name,Slug,Cost USD,Retail USD,Retail USD,Direct Link,Shop Link
"Gulf Region 5GB 30Days",ME-6_5_30,10.80,13.89,13.89,"https://asim.esimqr.link/pay/usd/ME-6_5_30","https://asim.esimqr.link/?slug=ME-6_5_30"
"Gulf Region 10GB/Day",ME-6_10_Daily,22.00,27.06,27.06,"https://asim.esimqr.link/pay/usd/ME-6_10_Daily","https://asim.esimqr.link/?slug=ME-6_10_Daily"
"Gulf Region 10GB 30Days",ME-6_10_30,22.00,27.06,27.06,"https://asim.esimqr.link/pay/usd/ME-6_10_30","https://asim.esimqr.link/?slug=ME-6_10_30"
"Asia (20 areas) 500MB/Day",AS-21_0.5_Daily,1.60,3.06,3.06,"https://asim.esimqr.link/pay/usd/AS-21_0.5_Daily","https://asim.esimqr.link/?slug=AS-21_0.5_Daily"
"Asia (20 areas) 1GB/Day",AS-21_1_Daily,3.00,4.71,4.71,"https://asim.esimqr.link/pay/usd/AS-21_1_Daily","https://asim.esimqr.link/?slug=AS-21_1_Daily"
"Asia (20 areas) 1GB 7Days",AS-21_1_7,3.60,5.42,5.42,"https://asim.esimqr.link/pay/usd/AS-21_1_7","https://asim.esimqr.link/?slug=AS-21_1_7"
"Asia (20 areas) 2GB/Day",AS-21_2_Daily,5.80,8.00,8.00,"https://asim.esimqr.link/pay/usd/AS-21_2_Daily","https://asim.esimqr.link/?slug=AS-21_2_Daily"
"Asia (20 areas) 3GB 15Days",AS-21_3_15,8.90,11.65,11.65,"https://asim.esimqr.link/pay/usd/AS-21_3_15","https://asim.esimqr.link/?slug=AS-21_3_15"
"Asia (20 areas) 3GB 30Days",AS-21_3_30,9.20,12.00,12.00,"https://asim.esimqr.link/pay/usd/AS-21_3_30","https://asim.esimqr.link/?slug=AS-21_3_30"
"Asia (20 areas) 5GB 30Days",AS-21_5_30,13.60,17.18,17.18,"https://asim.esimqr.link/pay/usd/AS-21_5_30","https://asim.esimqr.link/?slug=AS-21_5_30"
"Asia (20 areas) 10GB 30Days",AS-21_10_30,23.00,28.24,28.24,"https://asim.esimqr.link/pay/usd/AS-21_10_30","https://asim.esimqr.link/?slug=AS-21_10_30"
"Asia (20 areas) 20GB 30Days",AS-21_20_30,40.00,48.24,48.24,"https://asim.esimqr.link/pay/usd/AS-21_20_30","https://asim.esimqr.link/?slug=AS-21_20_30"
"Africa 1GB 7Days",AF-29_1_7,5.70,7.89,7.89,"https://asim.esimqr.link/pay/usd/AF-29_1_7","https://asim.esimqr.link/?slug=AF-29_1_7"
"Africa 3GB 30Days",AF-29_3_30,14.40,18.12,18.12,"https://asim.esimqr.link/pay/usd/AF-29_3_30","https://asim.esimqr.link/?slug=AF-29_3_30"
"Africa 5GB 30Days",AF-29_5_30,21.00,25.89,25.89,"https://asim.esimqr.link/pay/usd/AF-29_5_30","https://asim.esimqr.link/?slug=AF-29_5_30"
"Asia (12 areas) 500MB/Day",AS-12_0.5_Daily,1.90,3.42,3.42,"https://asim.esimqr.link/pay/usd/AS-12_0.5_Daily","https://asim.esimqr.link/?slug=AS-12_0.5_Daily"
"Asia (12 areas) 1GB/Day",AS-12_1_Daily,3.40,5.18,5.18,"https://asim.esimqr.link/pay/usd/AS-12_1_Daily","https://asim.esimqr.link/?slug=AS-12_1_Daily"
"Asia (12 areas) 1GB 7Days",AS-12_1_7,3.50,5.30,5.30,"https://asim.esimqr.link/pay/usd/AS-12_1_7","https://asim.esimqr.link/?slug=AS-12_1_7"
"Asia (12 areas) 2GB/Day",AS-12_2_Daily,6.60,8.95,8.95,"https://asim.esimqr.link/pay/usd/AS-12_2_Daily","https://asim.esimqr.link/?slug=AS-12_2_Daily"
"Asia (12 areas) 3GB/Day",AS-12_3_Daily,8.70,11.42,11.42,"https://asim.esimqr.link/pay/usd/AS-12_3_Daily","https://asim.esimqr.link/?slug=AS-12_3_Daily"
"Asia (12 areas) 3GB 15Days",AS-12_3_15,8.80,11.53,11.53,"https://asim.esimqr.link/pay/usd/AS-12_3_15","https://asim.esimqr.link/?slug=AS-12_3_15"
"Asia (12 areas) 3GB 30Days",AS-12_3_30,9.00,11.77,11.77,"https://asim.esimqr.link/pay/usd/AS-12_3_30","https://asim.esimqr.link/?slug=AS-12_3_30"
"Asia (12 areas) 5GB 30Days",AS-12_5_30,13.50,17.06,17.06,"https://asim.esimqr.link/pay/usd/AS-12_5_30","https://asim.esimqr.link/?slug=AS-12_5_30"
"Asia (12 areas) 10GB 30Days",AS-12_10_30,22.90,28.12,28.12,"https://asim.esimqr.link/pay/usd/AS-12_10_30","https://asim.esimqr.link/?slug=AS-12_10_30"
"Asia (12 areas) 20GB 30Days",AS-12_20_30,39.90,48.12,48.12,"https://asim.esimqr.link/pay/usd/AS-12_20_30","https://asim.esimqr.link/?slug=AS-12_20_30"
"Asia (7 areas) 500MB/Day",AS-7_0.5_Daily,0.90,2.24,2.24,"https://asim.esimqr.link/pay/usd/AS-7_0.5_Daily","https://asim.esimqr.link/?slug=AS-7_0.5_Daily"
"Asia (7 areas) 1GB/Day",AS-7_1_Daily,1.70,3.18,3.18,"https://asim.esimqr.link/pay/usd/AS-7_1_Daily","https://asim.esimqr.link/?slug=AS-7_1_Daily"
"Asia (7 areas) 1GB 7Days",AS-7_1_7,1.80,3.30,3.30,"https://asim.esimqr.link/pay/usd/AS-7_1_7","https://asim.esimqr.link/?slug=AS-7_1_7"
"Asia (7 areas) 2GB/Day",AS-7_2_Daily,3.00,4.71,4.71,"https://asim.esimqr.link/pay/usd/AS-7_2_Daily","https://asim.esimqr.link/?slug=AS-7_2_Daily"
"Asia (7 areas) 3GB 15Days",AS-7_3_15,4.60,6.59,6.59,"https://asim.esimqr.link/pay/usd/AS-7_3_15","https://asim.esimqr.link/?slug=AS-7_3_15"
"Asia (7 areas) 3GB 30Days",AS-7_3_30,4.80,6.83,6.83,"https://asim.esimqr.link/pay/usd/AS-7_3_30","https://asim.esimqr.link/?slug=AS-7_3_30"
"Asia (7 areas) 5GB/Day",AS-7_5_Daily,6.00,8.24,8.24,"https://asim.esimqr.link/pay/usd/AS-7_5_Daily","https://asim.esimqr.link/?slug=AS-7_5_Daily"
"Asia (7 areas) 5GB 30Days",AS-7_5_30,7.00,9.42,9.42,"https://asim.esimqr.link/pay/usd/AS-7_5_30","https://asim.esimqr.link/?slug=AS-7_5_30"
